"LAT","LON","YYYYMMDD","YEAR","MO","DY","WangEngel","exp","env"
"18.0054",-66.3832,"2015-02-14",2015,2,14,14.5594735965812,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-15",2015,2,15,14.8006778766099,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-16",2015,2,16,13.9335252231361,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-17",2015,2,17,14.2665299192816,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-18",2015,2,18,14.5515019204386,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-19",2015,2,19,14.7544203610041,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-20",2015,2,20,14.6284498004843,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-21",2015,2,21,14.4517475813089,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-22",2015,2,22,14.3808312614611,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-23",2015,2,23,14.2699881915732,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-24",2015,2,24,14.270354361451,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-25",2015,2,25,14.5162769561544,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-26",2015,2,26,14.6528533491712,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-27",2015,2,27,14.4192617613646,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-02-28",2015,2,28,14.3679889500143,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-03-01",2015,3,1,14.19348152476,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-03-02",2015,3,2,13.8556804467806,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-03-03",2015,3,3,13.6626378354563,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-03-04",2015,3,4,13.8818045216817,"ATLAS","2015_PR"
"18.0054",-66.3832,"2015-03-05",2015,3,5,14.2684171029334,"ATLAS","2015_PR"
